,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB
151,0.7170425821504958,0.14403072136885087,0.13221854948473655,0.00670814699591678
152,0.7143967737233371,0.14581410038384918,0.13293814683445895,0.006850979058354793
153,0.7117112741050178,0.14742313110215186,0.13391946373925293,0.0069461310535775
154,0.7090617715617715,0.14884421134421136,0.1351010101010101,0.006993006993006993
155,0.70595087855548,0.15051936705174254,0.13634598582661878,0.007183768566158625
156,0.7024063652241412,0.15243547448088493,0.13778381525325054,0.007374345041723268
157,0.6994278510473235,0.1545287044220326,0.1384309542280838,0.007612490302560124
158,0.6964277058795018,0.15675439872037225,0.13911104648344724,0.007706848916678785
159,0.6930904157379592,0.1596084891946894,0.13945149723810446,0.00784959782924702
160,0.6898856810695602,0.16188723115675258,0.14028289091261384,0.007944196861073435
161,0.6853546356814331,0.1646090534979424,0.14185427257322683,0.008182038247397725
162,0.6810816040245731,0.1672229478063174,0.14313355584578918,0.008561892323320273
163,0.6766412066131683,0.16953495117470754,0.14502562119307744,0.008798221019046698
164,0.6730601990530486,0.1717557251908397,0.1461493864141463,0.009034689341965408
165,0.6682599459250675,0.17443993820007725,0.14798184627269215,0.009318269602162997
166,0.6633548760490017,0.1775827143821742,0.14927172759718338,0.009790681971640782
167,0.6591500433651344,0.17967620699624168,0.15095885130577238,0.010214898332851498
168,0.6546277569103341,0.18246171626697485,0.15246075315419436,0.010449773668496582
169,0.6509143407122233,0.1850818094321463,0.15327237728585177,0.010731472569778633
170,0.6472879399884593,0.18700711675322176,0.15464512406231967,0.011059819195999231
171,0.6442917547568711,0.1886892177589852,0.15563136651931578,0.011387660964827984
172,0.641313742437338,0.19067511764140976,0.15634303274752712,0.011668107173725151
173,0.6395527401861983,0.1919090123812266,0.15663691333141377,0.01190133410116134
174,0.6381345360330103,0.19273582189809038,0.15718261203339412,0.01194703003550523
175,0.6366906474820144,0.19347721822541966,0.15774580335731414,0.012086330935251799
176,0.6357142857142857,0.1950143815915628,0.15699904122722916,0.012272291466922339
177,0.6342983128834356,0.19627108895705522,0.15711273006134968,0.01231786809815951
178,0.6336496070538624,0.19747939428790492,0.15650757140118843,0.012363427257044278
179,0.6340295075684997,0.19812224564092737,0.15534585169572715,0.012502395094845756
180,0.6347313990232691,0.19802738676625492,0.1545532892846883,0.01268792492578761
181,0.6359938750119629,0.19753086419753085,0.1535553641496794,0.012919896640826873
182,0.6385380788365863,0.19670876387294298,0.1517412935323383,0.013011863758132415
183,0.6406369548584545,0.19515110941086458,0.15106159143075745,0.013150344299923488
184,0.6439567794989481,0.19210174029451138,0.15074584050487666,0.013195639701663799
185,0.6469744766274734,0.18999139661600228,0.14974667813784534,0.013287448618678902
186,0.64970374617737,0.1894590978593272,0.14745795107033638,0.013379204892966361
187,0.6519102196752626,0.18915950334288442,0.1453199617956065,0.013610315186246419
188,0.654573228947871,0.18803704410922284,0.1436413977468016,0.01374832919610464
189,0.65635886423288,0.18821283703173466,0.1415413982343116,0.01388690050107373
190,0.6584144247281053,0.18665331043693953,0.14090822362144628,0.014024041213508873
191,0.6614995707335687,0.1842506915959172,0.14022703424592198,0.014022703424592197
192,0.6650138266425097,0.18141508534375894,0.13941069896061792,0.014160389053113379
193,0.6663013959693173,0.17914145504788223,0.14007337176616322,0.014483777216637286
194,0.6668730060473311,0.17684872148945288,0.1415646873958383,0.014713585067377744
195,0.6665873506876695,0.1764146004854138,0.14205491838385761,0.014943130443059059
196,0.6651760228353949,0.17768791627021885,0.14210275927687915,0.015033301617507136
197,0.6635113922846406,0.17894686771631071,0.14246301669599962,0.015078723303049041
198,0.66058099177483,0.18123900537250986,0.14291827128797605,0.015261731564684067
199,0.6578759800427655,0.18384414350201947,0.14278926110715134,0.015490615348063673
200,0.6550348953140578,0.18530123913972368,0.14380667521245785,0.015857190333760623
201,0.6510656476954478,0.1870698248445436,0.14596288033417193,0.015901647125836617
202,0.6481665955125469,0.18851098145249276,0.14714671979507613,0.016175703239884254
203,0.6459765754658827,0.1894826686898383,0.14822893451562427,0.01631182132865475
204,0.6441264275221532,0.19011514950480973,0.14917310335023456,0.016585319622802446
205,0.6427251622684418,0.19121618420429243,0.14942909935092624,0.016629554176339604
206,0.6411154774868614,0.19184697694237962,0.1501349367927655,0.016902608777993468
207,0.6405074075827141,0.19240781937804705,0.15009229895394519,0.0169924740852937
208,0.6391425732267071,0.19348885629110868,0.15028628211801448,0.017082288364169782
209,0.6389401466761296,0.19384906553110953,0.1501301159214573,0.017080671871303525
210,0.6381519837329171,0.19473211330212323,0.14980848347283302,0.017307419492126542
211,0.6382727143735515,0.19491084519699192,0.14964763751596272,0.017168802913493826
212,0.6384881025592507,0.19447466767585977,0.1500070958891149,0.017030133875774636
213,0.6393737287734733,0.19436166690317394,0.14923608154770351,0.017028522775649212
214,0.640853398930886,0.19400160840153272,0.14820947064667203,0.01693552202090922
215,0.6411711839553474,0.19336833640792772,0.14852655976538479,0.01693391987134005
216,0.640928649108705,0.1933897583810109,0.14861222752848835,0.01706936498179583
217,0.6421983635245708,0.1932554509766826,0.14766116445159155,0.016885021047155085
218,0.6438881264492925,0.19274998816904074,0.14679854242581988,0.01656334295584686
219,0.6441143073429221,0.1924205147615443,0.1468584405753217,0.01660673732021196
220,0.6446621237932992,0.1925989021389362,0.14627105811092184,0.016467915956842702
221,0.6463068181818182,0.19180871212121212,0.14573863636363638,0.016145833333333335
222,0.6473095869647594,0.19154982948086396,0.14522546419098142,0.015915119363395226
223,0.6480007580064431,0.19082812203903735,0.14539511085844228,0.015776009096077317
224,0.647064393939394,0.1909564393939394,0.14597537878787878,0.016003787878787878
225,0.6477019927107492,0.19041984190845837,0.14578501443650305,0.016093150944289297
226,0.6478966545213647,0.19046041735674063,0.1454597075663654,0.016183220555529267
227,0.6474901830912617,0.1908028575483749,0.14547949094005772,0.016227468420305625
228,0.6475041400520464,0.190962857818784,0.14539862786846464,0.016134374260704992
229,0.6471506266256798,0.19073066918893355,0.14580279025774415,0.016315913927642468
230,0.6461101915346418,0.19148734925514305,0.1461338377867108,0.016268621423504374
231,0.6450255343294874,0.1920276149044827,0.14668053716663515,0.016266313599394743
232,0.6441839580280758,0.1927494446282554,0.14661814056813346,0.016448456775535285
233,0.6429516250944822,0.19335789871504158,0.14701436130007559,0.016676114890400606
234,0.6420878601794993,0.19404818138875768,0.14718941898913557,0.016674539442607463
235,0.6409687470493816,0.19478802757057878,0.14734208290057596,0.016901142479463695
236,0.639743347801472,0.19522551424797133,0.14785808643140216,0.017173051519154558
237,0.6382236469922685,0.1960211201206864,0.14826513294361682,0.017490099943428247
238,0.6381504524886877,0.19617269984917043,0.14814291101055807,0.01753393665158371
239,0.6377474081055607,0.19622997172478793,0.14844486333647502,0.01757775683317625
240,0.6377993588534792,0.1964925513860079,0.14835941919668114,0.017348670563831794
241,0.6374693569677541,0.19658683763907223,0.14864227795587404,0.01730152743729964
242,0.6379147812971342,0.19673831070889894,0.14800150829562594,0.017345399698340876
243,0.6384724186704385,0.19684111268269683,0.14752475247524752,0.017161716171617162
244,0.6389046003016591,0.19664404223227752,0.1472002262443439,0.017251131221719458
245,0.6385014137606032,0.19660697455230913,0.14759660697455232,0.017295004712535342
246,0.6382186616399623,0.1968426013195099,0.1476908576814326,0.017247879359095192
247,0.6384854771784232,0.1970954356846473,0.14749151263674085,0.016927574500188607
248,0.6391640720822719,0.19638645155203321,0.14779696197754505,0.016652514388149825
249,0.6400132087932824,0.19600905745825078,0.14737239362203983,0.01660534012642702
