,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.986739894117065,0.013260105882935035,0.0,0.0
101,0.9734824123089101,0.026517587691089892,0.0,0.0
102,0.9601800554016621,0.03981994459833795,0.0,0.0
103,0.946928479572658,0.039816005539618164,0.01325551488772381,0.0
104,0.933728981206726,0.039762611275964393,0.026508407517309596,0.0
105,0.9205281637901191,0.039760644874140744,0.039711191335740074,0.0
106,0.9205399525316456,0.039754746835443035,0.039705300632911396,0.0
107,0.9205972510629883,0.03975081578166716,0.039651933155344606,0.0
108,0.9206090266449157,0.03974492065846062,0.039646052696623656,0.0
109,0.9205674459987149,0.039740991547624935,0.03969156245366023,0.0
110,0.920525873572876,0.039737063213562004,0.039737063213562004,0.0
111,0.9205337286879169,0.039733135656041516,0.039733135656041516,0.0
112,0.9204960964522186,0.03977665777250716,0.039727245775274235,0.0
113,0.9204545454545454,0.03987154150197628,0.03967391304347826,0.0
114,0.9206106115996443,0.039818199782630175,0.039571188617725524,0.0
115,0.9205651336264388,0.039816232771822356,0.039618633601738874,0.0
116,0.9206262965524055,0.03976094043267806,0.03961276301491653,0.0
117,0.9206380562003061,0.0397550496320806,0.03960689416761322,0.0
118,0.9205510566857594,0.03974916057673316,0.039699782737507405,0.0
119,0.920410783055199,0.03989335439913103,0.039695862545669994,0.0
120,0.9199249605055292,0.040333728278041076,0.0397413112164297,0.0
121,0.9186494224503899,0.04156382663639056,0.03978675091321947,0.0
122,0.9170286278381047,0.04318854886475815,0.03978282329713722,0.0
123,0.9147340373038587,0.04465607421296753,0.04051120102634955,9.868745682423764e-05
124,0.9119968429360694,0.046418705603788475,0.041387134964483034,0.0001973164956590371
125,0.9095571555380215,0.04744057599368774,0.04270638129993096,0.0002958871683597988
126,0.906616704467015,0.04886105906715314,0.04417710284981757,0.0003451336160141998
127,0.9035788228334812,0.05028098195800059,0.04574583456571034,0.00039436064280784776
128,0.9000886786875554,0.05182776628239236,0.047443097842151935,0.0006404571879002857
129,0.8972515023150428,0.05295044823170131,0.04910846222047089,0.0006895872327849473
130,0.8937783028155148,0.05493207324276432,0.050305178184682026,0.0009844457570387872
131,0.8904143292982974,0.05683495718925303,0.05166814289932093,0.0010825706131286292
132,0.8858604742694086,0.05952966643707567,0.0534783036504969,0.0011315556430187936
133,0.8816384736428009,0.06146734854445319,0.05556648308418568,0.0013276947285601889
134,0.8781950452221785,0.06316358631537554,0.05716673220605584,0.0014746362563900905
135,0.8741403026134801,0.06474749459618785,0.0593928080172922,0.0017193947730398899
136,0.8703831041257367,0.06635559921414538,0.061493123772102164,0.001768172888015717
137,0.8658548561327704,0.06780909358735147,0.06447019542374546,0.0018658548561327703
138,0.8619454259913624,0.06978798586572438,0.0662053396152336,0.002061248527679623
139,0.857647405081919,0.07161777690571962,0.06847836750711273,0.0022564505052487
140,0.8543403629230014,0.07287886218734674,0.0704757233938205,0.00230505149583129
141,0.8510836520545259,0.07399235069137981,0.07257036383249975,0.0023536334215945864
142,0.8482843137254902,0.07441176470588236,0.0748529411764706,0.0024509803921568627
143,0.8463951379699064,0.07484193500955742,0.07631230701367446,0.002450620006861736
144,0.8450379808870375,0.0751776525361431,0.07733398676794903,0.002450379808870375
145,0.8442767542140337,0.07565660525284203,0.07761662093296746,0.0024500196001568013
146,0.8429278330312087,0.07652736269658518,0.0780461515849297,0.0024986526872764685
147,0.8421594082202518,0.0770587370793122,0.07828344682310293,0.002498407877333072
148,0.8410148405740314,0.07772934319439682,0.07870891903805652,0.002546897193515208
149,0.8396337283321907,0.07839584761531682,0.07932621682499265,0.002644207227499755
