,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.9867352999406058,0.01326470005939418,0.0,0.0
101,0.9735227160249431,0.026477283975056914,0.0,0.0
102,0.9602632620744259,0.03973673792557403,0.0,0.0
103,0.9470559129143988,0.039683325086590795,0.013260761999010391,0.0
104,0.9338511775183059,0.03962992281812785,0.026518899663566197,0.0
105,0.9205995844464233,0.0396260017809439,0.03977441377263283,0.0
106,0.920607439651761,0.039622081519588445,0.03977047882865058,0.0
107,0.9207142150558908,0.03951924028093778,0.03976654466317143,0.0
108,0.9207715133531157,0.03946587537091988,0.039762611275964393,0.0
109,0.920828800316487,0.039461972109583625,0.03970922757392938,0.0
110,0.920840543881335,0.03945611866501854,0.03970333745364648,0.0
111,0.9209017203875816,0.039450266956693694,0.039648012655724735,0.0
112,0.9208601087493821,0.03949579831932773,0.03964409293129016,0.0
113,0.9206702253855279,0.03968960063266113,0.039640173981810994,0.0
114,0.920575297780853,0.03978648742153907,0.03963821479760787,0.0
115,0.9205792230898487,0.0397845211030938,0.03963625580705743,0.0
116,0.9206819866567828,0.03978255497899679,0.03953545836422041,0.0
117,0.9208419804328491,0.03962842178080838,0.039529597786342525,0.0
118,0.9205000247047779,0.039873511537131284,0.03962646375809081,0.0
119,0.9205078800454523,0.03982016698779704,0.039671952966750655,0.0
120,0.9196799051570835,0.040407034182967795,0.039913060659948624,0.0
121,0.9188975600118542,0.04119332213770621,0.039909117850439595,0.0
122,0.9172263927301462,0.04281904385618333,0.039954563413670485,0.0
123,0.9154157614062809,0.04409441042859964,0.04044045032589374,4.9377839225755484e-05
124,0.9130263092946345,0.04536255491386544,0.04146305345772249,0.00014808233377758035
125,0.9101317672605241,0.046686078073335635,0.04298475053052361,0.00019740413561664116
126,0.9072164948453608,0.04784688995215311,0.044542001677107486,0.00039461352537858237
127,0.9034071298259455,0.04935654060450668,0.04669395000246536,0.000542379567082491
128,0.9000739462657136,0.05087503081094405,0.048459452797633716,0.0005915701257086517
129,0.8979642135357618,0.05220091684329867,0.049243357815349734,0.0005915118055897866
130,0.8946538556294654,0.05395417590539542,0.05065287016506529,0.0007390983000739098
131,0.8904919001427939,0.056083509773991826,0.052390565759023094,0.0010340243241912452
132,0.8871277381245385,0.05808515874969235,0.05365493477725818,0.0011321683485109525
133,0.8834703016583829,0.06018404606072536,0.05511539786427833,0.0012302544166133556
134,0.8785837226456847,0.06245389722153922,0.05743791492500615,0.001524465207769855
135,0.8738016813332677,0.06494272651295413,0.05963325303574062,0.0016223391180374613
136,0.8695267580716497,0.06727603322030566,0.0614280800039314,0.0017691287041132243
137,0.8653175499778968,0.06925683972690211,0.06346087725330321,0.001964733041897932
138,0.861499926329748,0.07116546338588478,0.06537007023230686,0.0019645400520603112
139,0.8575006137981832,0.07365578197888534,0.0668303461821753,0.002013258040756199
140,0.8534825504343985,0.07539390369606833,0.06896382466990625,0.002159721199626957
141,0.8505668155273102,0.07621337782794327,0.07101143446042106,0.002208372184325465
142,0.8478484863353123,0.07668907315637113,0.07320543643589618,0.0022570040724203917
143,0.8454255580083395,0.07740986019131714,0.07485896492519009,0.002305616875153299
144,0.8447049590425271,0.07754941874724089,0.07544023152008633,0.002305390690145681
145,0.8442787777723282,0.07788513414095836,0.07553092353720144,0.0023051645495119916
146,0.8435093913981658,0.07831886616644598,0.07586680398214898,0.0023049384532391744
147,0.8422988280292257,0.07909576815573971,0.0763006914137204,0.0023047124013141763
148,0.8409079766632348,0.07996273961857135,0.07677599647006912,0.0023532872481247242
149,0.8396490024020785,0.08059218589146527,0.07740575518407765,0.002353056522378548
