,bt_pt-O,bt_pt-A,bt_pt-B,bt_pt-AB
0,1.0,0.0,0.0,0.0
1,1.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0
3,1.0,0.0,0.0,0.0
4,1.0,0.0,0.0,0.0
5,1.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0
8,1.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0
11,1.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0
13,1.0,0.0,0.0,0.0
14,1.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0
18,1.0,0.0,0.0,0.0
19,1.0,0.0,0.0,0.0
20,1.0,0.0,0.0,0.0
21,1.0,0.0,0.0,0.0
22,1.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0
24,1.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
26,1.0,0.0,0.0,0.0
27,1.0,0.0,0.0,0.0
28,1.0,0.0,0.0,0.0
29,1.0,0.0,0.0,0.0
30,1.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0
33,1.0,0.0,0.0,0.0
34,1.0,0.0,0.0,0.0
35,1.0,0.0,0.0,0.0
36,1.0,0.0,0.0,0.0
37,1.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0
42,1.0,0.0,0.0,0.0
43,1.0,0.0,0.0,0.0
44,1.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0
46,1.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0
57,1.0,0.0,0.0,0.0
58,1.0,0.0,0.0,0.0
59,1.0,0.0,0.0,0.0
60,1.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0
64,1.0,0.0,0.0,0.0
65,1.0,0.0,0.0,0.0
66,1.0,0.0,0.0,0.0
67,1.0,0.0,0.0,0.0
68,1.0,0.0,0.0,0.0
69,1.0,0.0,0.0,0.0
70,1.0,0.0,0.0,0.0
71,1.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0
73,1.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0
75,1.0,0.0,0.0,0.0
76,1.0,0.0,0.0,0.0
77,1.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0
79,1.0,0.0,0.0,0.0
80,1.0,0.0,0.0,0.0
81,1.0,0.0,0.0,0.0
82,1.0,0.0,0.0,0.0
83,1.0,0.0,0.0,0.0
84,1.0,0.0,0.0,0.0
85,1.0,0.0,0.0,0.0
86,1.0,0.0,0.0,0.0
87,1.0,0.0,0.0,0.0
88,1.0,0.0,0.0,0.0
89,1.0,0.0,0.0,0.0
90,1.0,0.0,0.0,0.0
91,1.0,0.0,0.0,0.0
92,1.0,0.0,0.0,0.0
93,1.0,0.0,0.0,0.0
94,1.0,0.0,0.0,0.0
95,1.0,0.0,0.0,0.0
96,1.0,0.0,0.0,0.0
97,1.0,0.0,0.0,0.0
98,1.0,0.0,0.0,0.0
99,1.0,0.0,0.0,0.0
100,0.986739894117065,0.013260105882935035,0.0,0.0
101,0.9734824123089101,0.026517587691089892,0.0,0.0
102,0.9602275537966857,0.03977244620331437,0.0,0.0
103,0.946928479572658,0.03976654466317143,0.013304975764170541,0.0
104,0.9336795252225519,0.039762611275964393,0.02655786350148368,0.0
105,0.9204826426664029,0.03975867866679854,0.03975867866679854,0.0
106,0.9204905063291139,0.039754746835443035,0.039754746835443035,0.0
107,0.9205972510629883,0.039701374468505884,0.039701374468505884,0.0
108,0.9205595926639972,0.03969548667754214,0.03974492065846062,0.0
109,0.9205713720838276,0.03968960063266113,0.039739027283511266,0.0
110,0.920575297780853,0.03968763900558493,0.039737063213562004,0.0
111,0.9205337286879169,0.03978255497899679,0.03968371633308624,0.0
112,0.9204960964522186,0.03982606976974009,0.03967783377804131,0.0
113,0.9203557312252965,0.03992094861660079,0.039723320158102766,0.0
114,0.9202153937357969,0.040015808714553895,0.039768797549649244,0.0
115,0.92007113570123,0.040112631526947586,0.039816232771822356,0.0
116,0.9199268919185931,0.04020944477376013,0.03986366330764671,0.0
117,0.9197905862596928,0.04025287696942757,0.03995653677087964,0.0
118,0.9194528124845671,0.040347671489950124,0.04019951602548274,0.0
119,0.9193659885443413,0.04034169464744223,0.040292316808216475,0.0
120,0.9185346104473191,0.041177051446627824,0.040288338106053125,0.0
121,0.9173578199052133,0.042308451816745654,0.040333728278041076,0.0
122,0.9155889031493731,0.04408135057754961,0.040329746273077303,0.0
123,0.9133761105626851,0.0456071076011846,0.041016781836130306,0.0
124,0.9108270825108566,0.04697986577181208,0.04214370311883143,4.9348598499802604e-05
125,0.9073599052880821,0.04903314917127072,0.043409629044988164,0.0001973164956590371
126,0.9047149339120142,0.050355099625172615,0.04468336950088775,0.0002465969619254291
127,0.902228577063406,0.05142490878611577,0.04600138053446406,0.0003451336160141998
128,0.898945085280489,0.05269644089519866,0.04796411318150449,0.00039436064280784776
129,0.8954370749975362,0.0543017640681975,0.049719128806543805,0.0005420321277224795
130,0.8918439716312057,0.05619582348305752,0.0512214342001576,0.0007387706855791962
131,0.8878495470657739,0.0582906656163844,0.05297361165813312,0.0008861756597085467
132,0.8841307343965348,0.06044496948218153,0.05448907265209687,0.0009352234691868478
133,0.8801791162287177,0.06259226454089165,0.056195256372404294,0.0010333628579864186
134,0.876672569854388,0.06454151908697363,0.05765446674537584,0.001131444313262495
135,0.8720267348142323,0.06649302142716729,0.05990760762728524,0.001572636131315117
136,0.8681469836903124,0.06823540970721163,0.061898211829436035,0.0017193947730398899
137,0.8637925955023078,0.0702150643228911,0.06407738387508592,0.0019149562997152116
138,0.8593934040047114,0.07234000785237535,0.06615626226933648,0.002110325873576757
139,0.8549352433281004,0.07432299843014128,0.0684850863422292,0.0022566718995290424
140,0.8511525257479157,0.07557626287395783,0.07091711623344776,0.0023540951446787643
141,0.8478058347634224,0.0763422407452807,0.07344937484677617,0.002402549644520716
142,0.8449281757121145,0.07687405010540765,0.07579546011668382,0.002402314065793989
143,0.8428921568627451,0.07740196078431373,0.07730392156862745,0.0024019607843137254
144,0.8415351436133712,0.0780315655327909,0.0780315655327909,0.0024017253210469563
145,0.8410115663595373,0.07836698686532052,0.07821995687120173,0.002401489903940404
146,0.8400548831283383,0.07913951095212426,0.07840446905473612,0.002401136864801294
147,0.8390652557319224,0.07946306094454243,0.07902214383695866,0.0024495394865765236
148,0.8370965371993927,0.08027624038791203,0.08012930401136308,0.002497918401332223
149,0.8356104010577347,0.08123990010283531,0.08060330052397043,0.002546398315459576
